judet,NUTS_ID,an,temperatura_medie_anuala_C,precipitatii_anuale_mm,judet_std,schimbare_temp_anuala_C,schimbare_precipitatii_anuala_mm,schimbare_precipitatii_anuala_pct
Alba,RO121,2012,8.933328869273362,763.6737988096418,Alba,0.6333813713592242,64.98225392231234,9.30056394668284
Alba,RO121,2013,8.863475614381068,960.1238063311982,Alba,-0.0698532548922941,196.45000752155647,25.724335158253208
Alba,RO121,2014,9.63422578978307,875.3168530545188,Alba,0.7707501754020019,-84.80695327667945,-8.832918496286613
Alba,RO121,2015,9.352633281818871,889.7366828420787,Alba,-0.28159250796419855,14.419829787559934,1.6473840001183904
Alba,RO121,2016,8.720793196298544,1121.8715812737503,Alba,-0.6318400855203272,232.13489843167156,26.090291982810566
Alba,RO121,2017,8.7471923828125,816.4294184492629,Alba,0.026399186513955897,-305.44216282448735,-27.226125335815578
Alba,RO121,2018,9.483492064244539,1033.0678609440338,Alba,0.7362996814320386,216.63844249477086,26.53486481492262
Alba,RO121,2019,9.709572208737864,845.223925558398,Alba,0.22608014449332536,-187.84393538563575,-18.18311676195027
Alba,RO121,2020,9.267863745828278,980.2670288334773,Alba,-0.44170846290958643,135.04310327507926,15.977198372119306
Alba,RO121,2021,8.353868799302184,966.860868628164,Alba,-0.9139949465260937,-13.406160205313313,-1.3676028889053504
Alba,RO121,2022,9.067242964957524,762.1736531807381,Alba,0.7133741656553401,-204.68721544742584,-21.170286448540153
Alba,RO121,2023,9.708808972997574,519.3161487609726,Alba,0.6415660080400496,-242.85750441976552,-31.863802088442895
Alba,RO121,2024,10.637989229368932,761.4982550659226,Alba,0.9291802563713585,242.18210630495003,46.63481135388685
Arad,RO421,2012,11.57309341430664,714.9121330482885,Arad,0.6246223449707031,163.86256254679756,29.736446831393405
Arad,RO421,2013,11.660892486572266,889.6271763403201,Arad,0.087799072265625,174.71504329203162,24.4386736796689
Arad,RO421,2014,12.229084014892578,843.0182650880888,Arad,0.5681915283203125,-46.60891125223134,-5.239151016492938
Arad,RO421,2015,12.092039108276367,699.0032460717484,Arad,-0.13704490661621094,-144.01501901634037,-17.08326200990342
Arad,RO421,2016,11.29583740234375,982.5069079280365,Arad,-0.7962017059326172,283.5036618562881,40.55827543713411
Arad,RO421,2017,11.43174934387207,662.2697565434501,Arad,0.1359119415283203,-320.23715138458647,-32.59388293359889
Arad,RO421,2018,12.277984619140625,789.9546383041888,Arad,0.8462352752685547,127.68488176073879,19.27989018057503
Arad,RO421,2019,12.440263748168945,737.7360055192839,Arad,0.1622791290283203,-52.21863278490491,-6.610333081530307
Arad,RO421,2020,11.775501251220703,818.9293917324394,Arad,-0.6647624969482422,81.19338621315546,11.00575078425301
Arad,RO421,2021,11.20501708984375,813.9458009209484,Arad,-0.5704841613769531,-4.983590811491013,-0.6085495113257844
Arad,RO421,2022,11.94516372680664,562.6633529830724,Arad,0.7401466369628906,-251.282447937876,-30.872135178234174
Arad,RO421,2023,12.393351554870605,495.0211500544101,Arad,0.44818782806396484,-67.6422029286623,-12.021789329275423
Arad,RO421,2024,13.340899467468262,540.7690532952547,Arad,0.9475479125976562,45.74790324084461,9.241605785089435
Argeş,RO311,2012,9.367703995614681,809.8582884669304,Arges,0.867151224388266,137.84838526695967,20.512850273568063
Argeş,RO311,2013,9.250959288399175,875.0642951546974,Arges,-0.11674470721550634,65.20600668776706,8.051532918333493
Argeş,RO311,2014,9.284967386497641,1039.483177863202,Arges,0.03400809809846628,164.4188827085045,18.789348807728224
Argeş,RO311,2015,9.59809731537441,854.8137260062515,Arges,0.31312992887676927,-184.66945185695045,-17.765506531482643
Argeş,RO311,2016,9.09626510908019,963.9255215382238,Arges,-0.5018322062942211,109.11179553197235,12.764394418623827
Argeş,RO311,2017,8.927038804540095,898.8075428970579,Arges,-0.16922630454009457,-65.1179786411659,-6.755498966066509
Argeş,RO311,2018,9.279315300707546,934.8884762519936,Arges,0.3522764961674518,36.08093335493561,4.014311366217371
Argeş,RO311,2019,9.895587273363796,833.3631094013745,Arges,0.61627197265625,-101.5253668506191,-10.859623305834132
Argeş,RO311,2020,9.888934441332546,876.0446042577332,Arges,-0.00665283203125,42.68149485635877,5.121596381560245
Argeş,RO311,2021,8.742061399063974,953.7228313875648,Arges,-1.146873042268572,77.67822712983161,8.866926039188128
Argeş,RO311,2022,9.49673864976415,617.1437770070262,Arges,0.7546772507001762,-336.57905438053865,-35.29107653749383
Argeş,RO311,2023,10.189747936320755,420.58824156537514,Arges,0.6930092865566042,-196.55553544165105,-31.84922910425997
Argeş,RO311,2024,10.89903403228184,698.2524091119193,Arges,0.7092860959610849,277.66416754654415,66.01805283788104
Bacău,RO211,2012,8.81048583984375,667.0289433553534,Bacau,0.7634058538472885,100.14008951890014,17.66485420222963
Bacău,RO211,2013,8.823332012824292,732.0258934632787,Bacau,0.012846172980541581,64.99695010792539,9.74424734569559
Bacău,RO211,2014,8.765987756117335,916.1625989374687,Bacau,-0.05734425670695664,184.13670547418997,25.154397831888573
Bacău,RO211,2015,9.503111641362029,639.1886278023978,Bacau,0.737123885244694,-276.9739711350709,-30.231966624297367
Bacău,RO211,2016,9.12637617003243,901.1112847443459,Bacau,-0.3767354713295994,261.92265694194805,40.977364982613594
Bacău,RO211,2017,8.816443677218455,697.7115737351606,Bacau,-0.3099324928139744,-203.39971100918524,-22.572096749059323
Bacău,RO211,2018,8.914294548754421,749.1565528400242,Bacau,0.09785087153596628,51.44497910486359,7.373387663537767
Bacău,RO211,2019,9.59778522995283,682.8555661999392,Bacau,0.6834906811984087,-66.30098664008506,-8.850084323328755
Bacău,RO211,2020,9.895081718012971,668.2190169305453,Bacau,0.297296488060141,-14.636549269393868,-2.1434326662731373
Bacău,RO211,2021,8.487097398290095,736.4337267520011,Bacau,-1.4079843197228765,68.21470982145581,10.208435871041077
Bacău,RO211,2022,9.40792558778007,491.9825326252096,Bacau,0.9208281894899759,-244.4511941267915,-33.19391620002652
Bacău,RO211,2023,10.18897866303066,307.4233311035161,Bacau,0.7810530752505898,-184.55920152169352,-37.51336465888109
Bacău,RO211,2024,10.69948246793927,689.0967121403313,Bacau,0.510503804908609,381.6733810368152,124.1523796085267
Bihor,RO111,2012,10.687437947591146,732.2885443836451,Bihor,0.5944295247395832,100.43798836749056,15.89584553042993
Bihor,RO111,2013,10.703790283203125,905.1544376548379,Bihor,0.016352335611978575,172.86589327119282,23.60625392777258
Bihor,RO111,2014,11.534244791666667,844.0035609528422,Bihor,0.8304545084635429,-61.150876701995685,-6.755850069125369
Bihor,RO111,2015,11.127626546223958,765.6841462254524,Bihor,-0.40661824544270964,-78.31941472738981,-9.279512356437303
Bihor,RO111,2016,10.391116333007812,1002.4770930200815,Bihor,-0.7365102132161461,236.79294679462907,30.925669280464163
Bihor,RO111,2017,10.487699381510417,775.0974489971995,Bihor,0.09658304850260535,-227.37964402288196,-22.681779524544922
Bihor,RO111,2018,11.343302408854166,912.9926132520039,Bihor,0.8556030273437489,137.8951642548044,17.790687407526562
Bihor,RO111,2019,11.615374755859374,742.3194145468374,Bihor,0.2720723470052082,-170.67319870516656,-18.693820325363074
Bihor,RO111,2020,10.861710611979166,863.4926380634308,Bihor,-0.7536641438802079,121.17322351659345,16.32359616925363
Bihor,RO111,2021,10.19617919921875,880.1536177650094,Bihor,-0.6655314127604157,16.660979701578526,1.9294871741980746
Bihor,RO111,2022,10.88133544921875,631.7185082485279,Bihor,0.6851562499999986,-248.43510951648148,-28.226335096745657
Bihor,RO111,2023,11.445361328125,538.7148781955242,Bihor,0.56402587890625,-93.00363005300369,-14.72232154648453
Bihor,RO111,2024,12.282440185546875,591.4868706129491,Bihor,0.8370788574218757,52.77199241742494,9.795904021472301
Bistriţa-Năsăud,RO112,2012,7.269302029079861,847.1228339155515,Bistrita-Nasaud,0.3455417209201386,111.21779867313387,15.113063961642425
Bistriţa-Năsăud,RO112,2013,7.520638020833333,916.6995652410719,Bistrita-Nasaud,0.2513359917534723,69.57673132552043,8.213299009297682
Bistriţa-Năsăud,RO112,2014,8.444218614366319,875.2054417312145,Bistrita-Nasaud,0.9235805935329857,-41.494123509857445,-4.526469203565664
Bistriţa-Năsăud,RO112,2015,8.10665554470486,874.4828999612066,Bistrita-Nasaud,-0.3375630696614582,-0.7225417700078651,-0.08255681872574305
Bistriţa-Năsăud,RO112,2016,7.490473090277778,1011.6123163938522,Bistrita-Nasaud,-0.6161824544270829,137.1294164326456,15.681200448714193
Bistriţa-Năsăud,RO112,2017,7.397848849826389,927.6894665347205,Bistrita-Nasaud,-0.09262424045138928,-83.9228498591317,-8.295949792139334
Bistriţa-Năsăud,RO112,2018,8.142098659939236,928.5586731851101,Bistrita-Nasaud,0.7442498101128479,0.8692066503896285,0.09369586286631648
Bistriţa-Năsăud,RO112,2019,8.317428927951388,848.3149727788236,Bistrita-Nasaud,0.1753302680121518,-80.24370040628651,-8.641747982498217
Bistriţa-Năsăud,RO112,2020,7.939214409722222,1013.7916110581822,Bistrita-Nasaud,-0.3782145182291661,165.47663827935855,19.50650920816677
Bistriţa-Năsăud,RO112,2021,6.8646355523003475,1020.9318690194024,Bistrita-Nasaud,-1.0745788574218746,7.140257961220186,0.7043121962478249
Bistriţa-Năsăud,RO112,2022,7.409889051649306,770.6998685061932,Bistrita-Nasaud,0.5452534993489584,-250.2320005132092,-24.510156662418147
Bistriţa-Năsăud,RO112,2023,8.491436089409722,543.2072358578444,Bistrita-Nasaud,1.0815470377604166,-227.49263264834883,-29.517668543175667
Bistriţa-Năsăud,RO112,2024,9.142536078559028,818.1132072289785,Bistrita-Nasaud,0.651099989149305,274.9059713711341,50.60793620265327
Botoşani,RO212,2012,10.220124368106617,561.9203092256013,Botosani,0.4699570599724261,119.41920708137394,26.987324212912544
Botoşani,RO212,2013,9.999977022058824,680.5255267073127,Botosani,-0.22014734604779385,118.6052174817114,21.107124183705817
Botoşani,RO212,2014,9.931383559283088,744.6924556030947,Botosani,-0.06859346277573586,64.16692889578201,9.429026006746621
Botoşani,RO212,2015,11.138251091452206,489.20111066383475,Botosani,1.2068675321691185,-255.49134493925993,-34.30830311451838
Botoşani,RO212,2016,10.777358111213236,731.6798945381361,Botosani,-0.36089298023897065,242.4787838743013,49.56627828282383
Botoşani,RO212,2017,10.552968462775736,550.4050019621849,Botosani,-0.22438964843749964,-181.27489257595118,-24.775163829037382
Botoşani,RO212,2018,10.328907686121324,637.7730035271715,Botosani,-0.2240607766544116,87.36800156498657,15.873402540587577
Botoşani,RO212,2019,11.295020967371324,556.9807466044145,Botosani,0.9661132812499993,-80.7922569227569,-12.667870304315077
Botoşani,RO212,2020,11.31271613625919,643.5610824416666,Botosani,0.01769516888786704,86.58033583725205,15.544583249076682
Botoşani,RO212,2021,9.591180778952205,625.051151415881,Botosani,-1.7215353573069851,-18.50993102578559,-2.8761731451440564
