an,judet,emig_masc_nr,emig_fem_nr,emigranti_total_nr,emig_15_64_nr,imig_masc_nr,imig_fem_nr,imigranti_total_nr,imigranti_15_64_nr,populatie_15_64,populatie_rurala,populatie_totala,pondere_rurala,rata_emig_def,rata_imig_def,rata_emig_15_64,rata_imig_15_64,intensitate_migratie,sup_grau_ha,sup_orz_orzoaica_ha,sup_porumb_boabe_ha,sup_floarea_soarelui_ha,sup_rapita_ha,sup_soia_boabe_ha,sup_totala_cultivata_ha,pondere_grau,pondere_orz_orzoaica,pondere_porumb_boabe,pondere_floarea_soarelui,pondere_rapita,pondere_soia_boabe,prod_grau_tone,prod_orz_orzoaica_tone,prod_porumb_boabe_tone,prod_floarea_soarelui_tone,prod_rapita_tone,prod_soia_boabe_tone,yield_grau,yield_orz_orzoaica,yield_porumb_boabe,yield_floarea_soarelui,yield_rapita,yield_soia_boabe,ocupati_total_nr,ocupati_agri_nr,pondere_ocupati_agri,temperatura_medie_anuala_C,precipitatii_anuale_mm,tractoare_nr,pluguri_nr,semanatori_mecanice_nr,masini_stropit_prafuit_mecanice_nr,combine_cereale_nr,tractoare_1000ha,pluguri_1000ha,semanatori_1000ha,masini_stropit_1000ha,combine_1000ha
2019,Timis,608,819,1427,1183,264,303,567,451,488663,288478,706042,40.85847584,2.021126222,0.803068373,2.420891289,0.922926434,2.824194595,133604,13601,165643,78242,16312,21200,428602,31.17204306,3.173340302,38.64727649,18.25516446,3.805861849,4.94631383,735018,70148,1726089,276105,43551,59352,5.501467022,5.157561944,10.42053694,3.52885918,2.669874939,2.799622642,347800,52400,15.06612996,12.98214274,690.5117982,11088,8444,5491,62,1467,25.8701546,19.70126131,12.81141945,0.144656348,3.422755843
2020,Timis,507,571,1078,856,209,191,400,340,484159,293044,706647,41.46964467,1.525514153,0.566053489,1.768014227,0.702248641,2.091567643,131524,14388,111718,43099,24784,20663,346176,37.99339065,4.156267332,32.27202348,12.45002542,7.159364023,5.9689291,620978,68811,742329,121862,76933,45140,4.721404459,4.782527106,6.644667824,2.827490197,3.104139768,2.184581135,346700,50500,14.56590712,12.31122296,803.8772463,11133,8457,5505,73,1476,32.15994176,24.42976983,15.90231559,0.210875393,4.263727121
2021,Timis,783,894,1677,1344,338,355,693,556,455066,301868,679468,44.42711062,2.468107402,1.019915581,2.953417746,1.221800794,3.488022983,111530,12679,117658,28308,33525,17674,321374,34.70411421,3.945247593,36.61092683,8.808428809,10.43177108,5.499511473,616798,71178,696561,69667,104208,30675,5.530332646,5.613849673,5.92021792,2.46103575,3.10836689,1.735600317,324600,26700,8.225508318,11.79845594,774.3369,5328,2536,1247,15,669,16.57881471,7.891117514,3.88021433,0.046674591,2.081686757
2022,Timis,1087,1222,2309,1835,405,397,802,644,429066,310865,655478,47.42569545,3.522620134,1.223534581,4.276731319,1.500934588,4.746154715,135334,13829,107667,30483,38708,16407,342428,39.52188489,4.038513206,31.44223019,8.902017358,11.30398215,4.791372201,742402,71282,247239,62236,120627,19878,5.485702041,5.154530335,2.296330352,2.041662566,3.116332541,1.211556043,333700,26900,8.061132754,12.56933082,505.9246484,5574,2551,1338,17,746,16.27787447,7.449741259,3.907390751,0.049645473,2.178560164
2012,Tulcea,67,81,148,115,24,20,44,41,143409,112543,211117,53.30835508,0.701033076,0.208415239,0.801902252,0.285895585,0.909448315,91405,23112,60914,57678,6510,1904,241523,37.84525697,9.569274976,25.22078643,23.88095544,2.69539547,0.788330718,112178,25217,80371,51489,5509,2300,1.227263279,1.091078228,1.319417539,0.892697389,0.846236559,1.207983193,84400,31600,37.44075829,12.87188886,608.0243414,2683,2024,1183,117,424,11.10867288,8.380154271,4.89808424,0.484425914,1.755526389
2013,Tulcea,85,98,183,151,16,14,30,28,142078,111655,209257,53.35783271,0.874522716,0.14336438,1.062796492,0.197074846,1.017887096,88659,24012,60707,56871,9643,1674,241566,36.70177094,9.940140583,25.13060613,23.54263431,3.991869717,0.692978316,263296,63134,268973,80846,17324,3406,2.969760543,2.629268699,4.43067521,1.42156811,1.796536348,2.034647551,82900,29900,36.06755127,12.7989403,539.6586078,2679,2024,1183,117,416,11.09013686,8.37866256,4.897212356,0.484339684,1.722096653
2014,Tulcea,72,75,147,132,17,22,39,37,139668,110596,207198,53.3769631,0.709466308,0.188225755,0.945098376,0.264913939,0.897692063,81052,20380,48120,55377,18487,894,224310,36.1339218,9.085640408,21.45245419,24.68770897,8.24171905,0.39855557,296435,66056,225648,101419,38432,1864,3.657343434,3.241216879,4.689276808,1.83142821,2.07886623,2.085011186,82500,29100,35.27272727,12.62341089,676.605159,2683,2026,1190,118,422,11.96112523,9.032143016,5.30515804,0.526057688,1.881324952
2015,Tulcea,59,101,160,151,16,22,38,35,136596,109292,204708,53.38921781,0.78160111,0.185630264,1.105449647,0.256230051,0.967231373,79294,20157,51226,51130,14165,3787,219759,36.08225374,9.172320588,23.31008059,23.26639637,6.445697332,1.72325138,294902,68098,157101,78800,34324,9144,3.719096022,3.378379719,3.066821536,1.541169568,2.423155665,2.414576182,80900,25600,31.64400494,12.78645503,568.4097536,2612,1945,1155,112,368,11.88574757,8.850604526,5.255757443,0.509649207,1.674561679
2016,Tulcea,133,152,285,248,35,24,59,54,133753,108093,202049,53.4984088,1.410548926,0.292008374,1.854164019,0.403729262,1.7025573,88351,24999,50360,57670,22696,3239,247315,35.72407658,10.10816166,20.36269535,23.31844005,9.176960556,1.309665811,359148,90422,162751,104335,63319,6696,4.065013412,3.617024681,3.23175139,1.80917288,2.789874868,2.067304724,79600,22400,28.14070352,12.49993841,620.0652387,2820,1945,1155,112,638,11.40246245,7.864464347,4.670157491,0.452863757,2.579706043
2017,Tulcea,124,166,290,253,35,24,59,53,130931,106775,199321,53.569368,1.45493952,0.296004937,1.932315494,0.404793364,1.750944456,83979,23218,43314,51884,25161,4201,231757,36.2357987,10.01825188,18.68940312,22.38724181,10.85663,1.812674482,395241,98227,274807,143812,61930,11829,4.706426607,4.230640021,6.344530637,2.771798628,2.461348913,2.815758153,80500,22600,28.07453416,12.20826405,538.8228635,3047,2300,1203,140,721,13.14739145,9.924187835,5.190781724,0.604080999,3.111017143
